"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"32","Malik Monk","Sac","G","25.3","7","29.3","24.6","12.2","49","0.898","54","0.463","39","0.333","0.478","0.58","19","5.4","3.6","0.7","0.4","1.9","24.4","22.6","28","9.8","118.1","111.2"
"33","Cameron Johnson","Bro","F","27.2","4","38","20.5","8.3","7","0.857","27","0.593","28","0.429","0.618","0.637","18.5","5.8","2.8","0.8","0.3","1.3","24.3","21.3","27","7.1","121.6","112.2"
"34","Karl-Anthony Towns","Min","C-F","27.5","5","36","25.8","20.4","28","0.75","46","0.565","24","0.25","0.5","0.553","18.2","10.2","2","0.6","0.8","3.6","28.4","20.2","30.4","8","96.9","102.9"
"35","Jaren Jackson Jr.","Mem","F-C","23.7","6","36.7","22.2","17.8","36","0.861","58","0.483","25","0.28","0.464","0.546","18","7.8","1.5","1","2","3","25.8","19.5","27.3","6.5","106.1","104.5"
"36","Jrue Holiday","Mil","G","32.9","5","38.1","22.7","12.3","13","0.692","43","0.512","42","0.286","0.471","0.491","17.8","6.6","8","1","0.4","2.4","24.4","25.8","32.4","10.3","108.1","108.6"
"37","Bam Adebayo","Mia","C-F","25.8","10","34.6","23.9","15.7","38","0.789","143","0.51","2","0","0.503","0.544","17.6","9.2","3.7","1","0.6","2.7","26.8","21.3","30.5","9.7","107.9","103.6"
"38","Andrew Wiggins","Gol","F","28.2","12","34.5","20.8","8.9","43","0.698","112","0.554","61","0.311","0.523","0.55","17.6","5.9","1.9","0.9","1.3","1.4","23.5","19.5","25.4","6.7","110.4","108.7"
"39","Julius Randle","Nyk","F-C","28.4","9","32.6","27.9","19.4","46","0.674","74","0.486","59","0.271","0.451","0.493","16.8","8","3.7","0.6","0.1","3.6","24.8","20.4","28.4","9.7","96.4","108.1"
"40","De'Andre Hunter","Atl","F-G","25.4","6","37.4","18.1","9.5","10","0.8","47","0.532","38","0.368","0.541","0.559","16.7","5.7","1.2","0.7","0.3","1.5","22.3","17.8","23.5","5.2","108.1","111.7"
"41","Spencer Dinwiddie","Bro","G","30.1","4","39.9","22.4","19","22","0.682","33","0.455","18","0.389","0.5","0.544","16.5","3.3","6.5","1.3","0.3","3","19.8","23","26.3","7.1","105.8","115.9"
"42","Domantas Sabonis","Sac","F-C","27","7","34.7","22.4","20.8","28","0.571","94","0.511","5","0.2","0.5","0.517","16.4","11","4.7","1.4","0.9","3.7","27.4","21.1","32.1","10.9","104.8","104.8"
"43","Tobias Harris","Phi","F","30.8","9","34.5","18.8","5.8","11","0.818","81","0.593","33","0.424","0.605","0.618","16.3","7.7","1.7","0.4","0.4","0.8","24","18","25.7","6.9","124.7","109"
"44","Marcus Smart","Bos","G","29.2","11","32.6","21.6","15.3","36","0.833","64","0.563","69","0.362","0.553","0.595","16.1","3.9","5","1.2","0.3","2.2","20","21.1","25","8.3","118.5","110.1"
"45","D'Angelo Russell","Lal","G","27.2","11","30.7","22.7","12.3","18","0.778","84","0.512","65","0.354","0.52","0.538","15.4","3.4","5.4","0.7","0.3","1.9","18.7","20.7","24.1","8.6","110","109.5"
"46","Rudy Gobert","Min","C","30.9","5","35.4","17.2","14.7","27","0.63","46","0.63","0","0","0.63","0.648","15","12.2","2","0.4","1","1.6","27.2","17","29.2","8.1","129.1","101.3"
"47","Caris LeVert","Cle","G","28.7","5","33.9","20.4","7.3","13","0.615","27","0.519","36","0.361","0.532","0.546","15","4.6","2.6","0.4","0.2","1","19.6","17.6","22.2","6.7","112.4","109.6"
"48","Malcolm Brogdon","Bos","G","30.4","11","27.4","22.9","7","26","0.846","75","0.467","57","0.421","0.538","0.572","14.9","4.1","3.9","0.1","0.2","0.9","19","18.8","22.9","9.1","122","111.5"
"49","Michael Porter Jr.","Den","F","24.9","10","33.9","16.3","1.7","13","0.692","51","0.549","66","0.424","0.598","0.607","14.9","7.8","1.5","0.9","0.6","0.2","22.7","16.4","24.2","6.6","125","107.9"
"50","Austin Reaves","Lal","G","25","11","34.7","18.5","10.9","37","0.838","73","0.466","58","0.362","0.5","0.55","14.7","4.7","4.2","0.7","0.3","1.5","19.5","18.9","23.6","7.6","115.4","110.9"
"51","Derrick White","Bos","G","28.9","11","31.8","16.7","9.1","21","0.952","54","0.611","56","0.411","0.614","0.65","14.1","3.5","2.5","0.3","0.8","1","17.6","16.5","20.1","6.3","127.1","111.7"
"52","Aaron Gordon","Den","F","27.7","10","35.2","16","8","35","0.8","77","0.506","26","0.385","0.524","0.574","13.6","6.1","2","0.7","0.6","0.9","19.7","15.6","21.7","6.2","125.2","108.3"
"53","Deandre Ayton","Pho","C","24.8","10","31.9","18.9","13.3","23","0.522","111","0.55","0","0","0.55","0.553","13.4","9.7","1","0.6","0.7","1.7","23.1","14.4","24.1","6.4","107.4","104.2"
"54","Bogdan Bogdanovic","Atl","G","30.7","6","26.1","15.8","5.2","7","0.714","21","0.714","33","0.455","0.694","0.701","13.3","3","2.5","1","0.8","0.5","16.3","15.8","18.8","7.1","140.5","109.5"
"55","Chris Paul","Pho","G","38","7","35.7","17.4","7.1","4","0.5","63","0.46","28","0.321","0.467","0.469","12.4","5","7.4","1.7","0.7","1","17.4","19.9","24.9","8.6","113","110.4"
"56","Bruce Brown","Den","G-F","26.7","10","25.5","18.5","12.9","31","0.871","58","0.655","23","0.261","0.58","0.639","12.1","3.7","2.2","1.3","0.3","1.2","15.8","14.3","18","7.2","123","105.8"
"57","Mike Conley","Min","G","35.6","5","36.6","13.6","14.2","11","0.909","20","0.5","22","0.455","0.595","0.64","12","2.6","6.4","0.6","0","1.4","14.6","18.4","21","6.4","131.8","114.9"
"58","Pat Connaughton","Mil","G","30.3","4","22.1","16.1","6.2","4","0.75","7","0.857","23","0.478","0.75","0.756","12","5","1.8","1","0.3","0.5","17","13.8","18.8","8.6","148.1","101.3"
"59","Tyler Herro","Mia","G","23.3","1","19.5","22.4","10","0","0","5","0.6","4","0.5","0.667","0.667","12","2","2","0","1","1","14","14","16","7.5","119.7","113.3"
"60","Gabe Vincent","Mia","G","26.9","10","29.2","21","13.3","12","0.833","48","0.396","69","0.348","0.47","0.491","12","1.3","4.8","0.9","0","1.8","13.3","16.8","18.1","5.8","101.8","107.1"
"61","Grayson Allen","Mil","G","27.6","5","29.9","13.6","8.8","7","0.857","12","0.417","29","0.483","0.634","0.658","11.6","2.4","1.8","0.4","0","0.8","14","13.4","15.8","4.9","127.5","113.2"
"62","Victor Oladipo","Mia","G","31","2","22.7","21.5","9.5","3","0.333","14","0.571","5","0.4","0.579","0.566","11.5","3.5","1","1","0.5","1","15","12.5","16","6","104.1","103.1"
"63","Rui Hachimura","Lal","F","25.3","11","21.6","17.6","9","18","0.833","52","0.596","29","0.552","0.679","0.703","11.4","3.6","0.6","0.5","0.1","0.7","15","12","15.6","5.4","128.6","110.4"
"64","John Collins","Atl","F-C","25.6","6","27.4","18","13","6","0.833","28","0.536","32","0.344","0.525","0.543","11.3","4.3","0.8","0.3","1","1.5","15.7","12.2","16.5","4.9","102.4","113.2"
"65","Caleb Martin","Mia","F","27.6","10","27.8","14.4","12.3","24","0.792","30","0.733","41","0.39","0.648","0.68","11.1","5.3","1.7","0.8","0.2","1","16.4","12.8","18.1","6.7","130.8","107.3"
"66","Harrison Barnes","Sac","F","30.9","7","28.1","15","4.7","26","0.731","35","0.543","25","0.24","0.467","0.525","10.7","3.4","0.7","1.1","0.3","0.4","14.1","11.4","14.9","4.2","114.7","117.4"
"67","Terance Mann","Lac","G-F","26.6","5","26.6","14.5","21.3","9","0.667","14","0.714","19","0.474","0.712","0.717","10.6","3.2","2.2","0.8","0.2","1.8","13.8","12.8","16","6.3","124.3","106.4"
"68","Jordan Poole","Gol","G","23.9","12","21.7","24.3","10","33","0.758","65","0.415","60","0.267","0.408","0.455","10.6","2.3","3.5","0.8","0.3","1.2","12.9","14.1","16.4","8.1","100.7","107.7"
